Timeperiod,Direction,WeekDay,Hour,Count
Before times,To City,Thursday,23,0.13333333333333333
Before times,To City,Friday,0,0.3333333333333333
Before times,To City,Friday,1,0
Before times,To City,Friday,2,0
Before times,To City,Friday,3,0.06666666666666667
Before times,To City,Friday,4,0
Before times,To City,Friday,5,0.4
Before times,To City,Friday,6,2.2
Before times,To City,Friday,7,6.133333333333334
Before times,To City,Friday,8,7.466666666666667
Before times,To City,Friday,9,6
Before times,To City,Friday,10,10.333333333333334
Before times,To City,Friday,11,12.785714285714286
Before times,To City,Friday,12,16.071428571428573
Before times,To City,Friday,13,10.785714285714286
Before times,To City,Friday,14,14.785714285714286
Before times,To City,Friday,15,21.071428571428573
Before times,To City,Friday,16,43.57142857142857
Before times,To City,Friday,17,41.5
Before times,To City,Friday,18,16.428571428571427
Before times,To City,Friday,19,7.642857142857143
Before times,To City,Friday,20,4.428571428571429
Before times,To City,Friday,21,1.5714285714285714
Before times,To City,Friday,22,1.0714285714285714
Before times,To City,Friday,23,0.2857142857142857
Before times,To City,Saturday,0,0.2
Before times,To City,Saturday,1,0
Before times,To City,Saturday,2,0.06666666666666667
Before times,To City,Saturday,3,0
Before times,To City,Saturday,4,0
Before times,To City,Saturday,5,0.2
Before times,To City,Saturday,6,0.7333333333333333
Before times,To City,Saturday,7,4.933333333333334
Before times,To City,Saturday,8,10.4
Before times,To City,Saturday,9,14.533333333333333
Before times,To City,Saturday,10,16.866666666666667
Before times,To City,Saturday,11,20.933333333333334
Before times,To City,Saturday,12,15.2
Before times,To City,Saturday,13,12.466666666666667
Before times,To City,Saturday,14,22.066666666666666
Before times,To City,Saturday,15,21.666666666666668
Before times,To City,Saturday,16,19.533333333333335
Before times,To City,Saturday,17,12.266666666666667
Before times,To City,Saturday,18,6.133333333333334
Before times,To City,Saturday,19,4.8
Before times,To City,Saturday,20,2.8
Before times,To City,Saturday,21,1.5333333333333334
Before times,To City,Saturday,22,0.6
Before times,To City,Saturday,23,0.13333333333333333
Lockdown,From City,Sunday,0,0.09090909090909091
Lockdown,From City,Sunday,1,0
Lockdown,From City,Sunday,2,0
Lockdown,From City,Sunday,3,0
Lockdown,From City,Sunday,4,0.18181818181818182
Lockdown,From City,Sunday,5,0.2727272727272727
Lockdown,From City,Sunday,6,3.090909090909091
Lockdown,From City,Sunday,7,9.454545454545455
Lockdown,From City,Sunday,8,20.818181818181817
Lockdown,From City,Sunday,9,32.36363636363637
Lockdown,From City,Sunday,10,44.27272727272727
Lockdown,From City,Sunday,11,47.18181818181818
Lockdown,From City,Sunday,12,37.54545454545455
Lockdown,From City,Sunday,13,39.27272727272727
Lockdown,From City,Sunday,14,51.27272727272727
Lockdown,From City,Sunday,15,45.45454545454545
Lockdown,From City,Sunday,16,39.54545454545455
