Date,cases_per_arrival,fit,lwr,upr
2020-06-02,0,0.0799895142119568,0.016180764397970327,0.3954276959046155
2020-06-03,0,0.09302446996994872,0.020642406183995717,0.4192123697235976
2020-06-04,0,0.108268598581508,0.02630581546269302,0.44560828974977085
2020-06-05,1.1952191235059761,0.12594354486532947,0.03339993718933854,0.474904380907292
2020-06-06,0,0.14621431720520353,0.042128547151298795,0.5074617569650698
2020-06-07,2.0202020202020203,0.16915356847357618,0.052631836833049166,0.5436430010623887
2020-06-08,0,0.19470269845241453,0.06494727599958175,0.5836910047604768
2020-06-09,0,0.2226349833796397,0.07898226552551149,0.627562852175244
2020-06-11,0,0.2837444240730824,0.11119231078303396,0.724068936292399
2020-06-12,0,0.315413697795172,0.12862970621513647,0.7734278782416834
2020-06-13,0.32102728731942215,0.3464880575272637,0.1464058419874102,0.8200080842357378
2020-06-14,0,0.37582479712133127,0.16409244130822884,0.860760416538496
2020-06-15,1.3157894736842104,0.4022862679254368,0.18121805850574385,0.8930359518019384
2020-06-16,0,0.42485107283793067,0.19721938139673698,0.9152165107365408
2020-06-17,0,0.4427183560787251,0.21140672214315798,0.9271206744141474
2020-06-18,0.778816199376947,0.4553871600333854,0.2229817844612415,0.9300197593463888
2020-06-19,0,0.4626974068635836,0.2311414032223214,0.9262247582375583
2020-06-20,0.411522633744856,0.46482701732290455,0.2352723928252719,0.9183574555378056
2020-06-21,4.761904761904762,0.4622486361744496,0.23518150276734331,0.9085485003321818
2020-06-22,0.4424778761061947,0.45565681059710833,0.2312428244212496,0.8978576073145815
2020-06-23,0.26109660574412535,0.4458804400119368,0.22435687017670436,0.8861300597956072
2020-06-24,0.7017543859649122,0.43379537227807913,0.21572595721645973,0.8723031175198761
2020-06-25,0,0.42024891520036967,0.20656370514502087,0.8549863617284392
2020-06-26,0,0.4060032577665037,0.19786490906619525,0.8330868070288686
2020-06-27,0.33444816053511706,0.391699920802048,0.19028332539731502,0.8063177771145659
2020-06-28,0.2762430939226519,0.37784352014854905,0.18408924521546027,0.775524531871225
2020-06-29,0,0.364800837086545,0.1791538026152961,0.7428234779074772
2020-06-30,0.5108556832694764,0.3528104072876135,0.17492798125183542,0.7115796032153984
2020-07-01,0,0.3419981829663376,0.17044115134916463,0.6862354321502288
2020-07-02,0.6960556844547563,0.33239580935332264,0.16442723324995812,0.6719505758981598
2020-07-03,0.5119453924914675,0.3239592569112303,0.15571446616586732,0.6739874767106353
2020-07-04,0.43103448275862066,0.31658666247890155,0.14380395091847298,0.6969705228499034
2020-07-05,0,0.3101350853496027,0.1291960444731957,0.7444792257920917
2020-07-06,0,0.30443641126276294,0.11312176363203619,0.8193076692476765
2020-07-07,0,0.29931284115948553,0.0969465038886349,0.9240990988790665
2020-07-08,0,0.294592330692913,0.0817286306233324,1.061863396476715
2020-07-09,0,0.2901240834810965,0.06808602465323486,1.2362593387473846
2020-07-10,0.8368200836820083,0.28579385814639147,0.05625751002873443,1.451861792540788
