SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
304000,Nelson Airport,2.95620578,2.95620578
304100,Tahunanui,1.6147601,1.6147601
304200,Britannia,0.84053386,0.84053386
304300,Atawhai,4.53225726,4.53225726
304400,Broadgreen-Monaco,1.1353873,1.1353873
304500,Washington,1.12496894,1.12496894
304600,Tahuna Hills,2.67700457,2.67700457
304700,Nelson Central-Trafalgar,1.24569931,1.24569931
304800,The Wood,1.16193028,1.16193028
304900,Toi Toi,1.30678078,1.30678078
305000,Nayland,0.84068866,0.84068866
305100,Aldinga,1.11110705,1.11110705
305200,Victory,0.6300716,0.6300716
305300,Rutherford,1.21471885,1.21471885
305400,Maitlands,0.76875789,0.76875789
305500,Maitai,0.93223506,0.93223506
305600,Grampians,2.95265223,2.95265223
305700,Saxton,3.86298733,3.86298733
305800,Suffolk,2.00212706,2.00212706
305900,Omaio,5.4714102,5.4714102
306000,Enner Glynn,7.05593019,7.05593019
306100,Daelyn,1.47284031,1.47284031
306200,The Brook,6.90231992,6.90231992
306300,Marlborough Sounds West,1553.913313,1553.913313
306500,Marlborough Sounds East,1043.571984,1043.571984
306600,Upper Wairau,4177.431475,4177.431475
306700,Waikawa (Marlborough District),3.85630246,3.85630246
306800,Waitohi (Marlborough District),5.31145854,5.31145854
306900,Tuamarina,167.7754262,167.7754262
307000,Awatere,3273.522586,3286.312957
307100,Renwick,2.31961038,2.31961038
307200,Lower Wairau,116.722065,116.722065
307300,Woodbourne,80.15060936,80.15060936
307400,Spring Creek-Grovetown,9.68720431,9.68720431
307500,Springlands,1.77334567,1.77334567
307600,Yelverton,2.41574357,2.41574357
307700,Mayfield,1.46101361,1.46101361
307800,Whitney West,1.90220008,1.90220008
307900,Blenheim Central,1.5515344,1.5515344
308000,Riversdale-Islington,1.09524759,1.09524759
308100,Whitney East,1.05747102,1.05747102
308200,Redwoodtown West,1.06281095,1.06281095
308300,Witherlea West,2.43667752,2.43667752
308400,Redwoodtown East,1.07365806,1.07365806
308500,Riverlands,6.27927373,6.27927373
308600,Witherlea East,1.37447506,1.37447506
308800,Kaikoura Ranges,2037.537398,2037.537398
308900,Kaikoura,9.25443297,9.25443297
309000,Karamea,3129.346745,3129.346745
309200,Westport North,8.65810322,8.65810322
309300,Westport Rural,88.75812542,88.75812542
309400,Westport South,2.87334821,2.87334821
309500,Buller Coalfields,498.5749599,498.5749599
