DHB,Date,Age,Eligible,Immunised
Bay of Plenty,2015-03-31,12 months,671,613
Bay of Plenty,2015-03-31,18 months,748,568
Bay of Plenty,2015-03-31,24 months,760,684
Bay of Plenty,2015-03-31,5 years,832,638
Bay of Plenty,2015-03-31,6 months,719,496
Bay of Plenty,2015-03-31,8 months,727,643
Bay of Plenty,2015-06-30,12 months,692,632
Bay of Plenty,2015-06-30,18 months,722,535
Bay of Plenty,2015-06-30,24 months,722,638
Bay of Plenty,2015-06-30,5 years,809,598
Bay of Plenty,2015-06-30,6 months,744,553
Bay of Plenty,2015-06-30,8 months,747,666
Bay of Plenty,2015-09-30,12 months,739,673
Bay of Plenty,2015-09-30,18 months,689,499
Bay of Plenty,2015-09-30,24 months,741,664
Bay of Plenty,2015-09-30,5 years,859,676
Bay of Plenty,2015-09-30,6 months,675,502
Bay of Plenty,2015-09-30,8 months,712,639
Bay of Plenty,2015-12-31,12 months,772,705
Bay of Plenty,2015-12-31,18 months,727,577
Bay of Plenty,2015-12-31,24 months,735,653
Bay of Plenty,2015-12-31,5 years,855,681
Bay of Plenty,2015-12-31,6 months,696,537
Bay of Plenty,2015-12-31,8 months,684,606
Bay of Plenty,2016-03-31,12 months,686,637
Bay of Plenty,2016-03-31,18 months,755,571
Bay of Plenty,2016-03-31,24 months,681,612
Bay of Plenty,2016-03-31,5 years,837,683
Bay of Plenty,2016-03-31,6 months,707,507
Bay of Plenty,2016-03-31,8 months,692,627
Bay of Plenty,2016-06-30,12 months,706,655
Bay of Plenty,2016-06-30,18 months,772,595
Bay of Plenty,2016-06-30,24 months,728,653
Bay of Plenty,2016-06-30,5 years,778,613
Bay of Plenty,2016-06-30,6 months,724,529
Bay of Plenty,2016-06-30,8 months,713,617
Bay of Plenty,2016-09-30,12 months,719,652
Bay of Plenty,2016-09-30,18 months,717,562
Bay of Plenty,2016-09-30,24 months,763,676
Bay of Plenty,2016-09-30,5 years,801,674
Bay of Plenty,2016-09-30,6 months,709,519
Bay of Plenty,2016-09-30,8 months,731,632
Bay of Plenty,2016-12-31,12 months,740,665
Bay of Plenty,2016-12-31,18 months,734,600
Bay of Plenty,2016-12-31,24 months,761,671
Bay of Plenty,2016-12-31,5 years,747,614
Bay of Plenty,2016-12-31,6 months,757,523
Bay of Plenty,2016-12-31,8 months,758,654
Bay of Plenty,2017-03-31,12 months,720,644
Bay of Plenty,2017-03-31,18 months,741,572
Bay of Plenty,2017-03-31,24 months,719,647
Bay of Plenty,2017-03-31,5 years,837,698
Bay of Plenty,2017-03-31,6 months,695,462
Bay of Plenty,2017-03-31,8 months,714,613
Bay of Plenty,2017-06-30,12 months,769,677
Bay of Plenty,2017-06-30,18 months,756,574
Bay of Plenty,2017-06-30,24 months,747,675
Bay of Plenty,2017-06-30,5 years,845,687
Bay of Plenty,2017-06-30,6 months,767,523
Bay of Plenty,2017-06-30,8 months,732,608
Bay of Plenty,2017-09-30,12 months,705,609
Bay of Plenty,2017-09-30,18 months,753,560
Bay of Plenty,2017-09-30,24 months,742,648
Bay of Plenty,2017-09-30,5 years,832,693
Bay of Plenty,2017-09-30,6 months,719,493
Bay of Plenty,2017-09-30,8 months,731,630
Bay of Plenty,2017-12-31,12 months,778,694
Bay of Plenty,2017-12-31,18 months,781,569
